año,pais,c.poblacion,pibpc,desempleo,expect.vida,acc.electricidad
2008,Mexico,1.26753574174522,10119.8210567984,3.87,74.152,98.914037
2008,Canada,1.08290711607014,46710.5055759013,6.14,80.7246341463415,100.0
2008,Bolivia,1.72976143588269,1687.57856734657,2.6,65.446,84.674991
2008,"Venezuela, RB",1.47403998165424,11310.7781703527,6.25,72.436,98.9178161621094
2008,Paraguay,0.979118914218707,4360.42910071309,4.42,71.384,96.677896
2008,Uruguay,0.224313675740569,9328.06585662206,8.03,76.623,98.784355
2008,Ecuador,1.70420581194769,4260.43318396471,3.92,74.983,97.206576
2008,Peru,0.716987182658426,4184.88598248749,4.03,73.377,84.678343
2008,Chile,1.00084678976019,10783.1708210632,9.29,78.484,98.2453155517578
2008,Argentina,0.992294094354656,8977.50685093365,7.84,75.641,97.5016021728516
2008,Brazil,0.987284202776065,8801.75947547502,8.27,72.715,98.526625
2008,Colombia,1.16787354604705,5534.68944688199,10.52,74.295,96.806763
2009,Costa Rica,1.35039395502168,6737.86075359038,7.71,78.672,99.409804
2009,United States,0.876651298802912,47194.9433547336,9.25,78.390243902439,100.0
2009,Mexico,1.23674369230562,8104.92257319862,5.36,74.119,98.2967987060547
2009,Canada,1.14175809912162,40876.3101540295,8.34,81.0660975609756,100.0
2009,Bolivia,1.71311404940389,1725.14628617645,2.97,65.88,86.765597
2009,"Venezuela, RB",1.40082958318807,11641.7991472317,6.1,72.579,98.9966583251953
2009,Paraguay,1.01212367069034,3920.18607347104,5.46,71.635,96.891335
2009,Uruguay,0.240409128463508,9780.73947340076,7.74,76.738,99.1
2009,Ecuador,1.68247933289289,4240.70259271564,4.61,75.184,96.470862
2009,Peru,0.702724346623641,4164.97048299155,3.96,73.466,86.42432
2009,Chile,1.02694120751704,10182.8605646819,11.31,78.741,99.593662
2009,Argentina,1.01428389337816,8184.38988923991,8.65,75.936,97.7922058105469
2009,Brazil,0.953147864558066,8569.90180523381,9.42,72.948,98.856938
2009,Colombia,1.13154130595269,5245.9516649172,11.32,74.742,96.057229
2010,Costa Rica,1.2873898093698,8147.24398481032,7.17,78.67,98.995734
2010,United States,0.829616674709795,48650.6431283336,9.63,78.5414634146342,100.0
2010,Mexico,1.32657895725526,9399.96470859669,5.3,74.19,99.236696
2010,Canada,1.11186407517168,47562.0834253057,8.06,81.3221951219512,100.0
2010,Bolivia,1.69628237644672,1922.05866181583,2.614,66.162,87.9524154663086
2010,"Venezuela, RB",1.35734981460765,13692.9149666211,7.11,72.89,99.0850448608398
2010,Paraguay,1.15140184845157,4702.91576988272,4.57,71.887,97.43086
2010,Uruguay,0.253703132150146,12512.5941268441,7.16,76.858,99.3
2010,Ecuador,1.66031048053538,4640.24634437845,4.09,75.43,97.462142
2010,Peru,0.756357202975091,5047.2046433225,3.6,73.711,88.123061
2010,Chile,1.0090337555584,12767.7820406263,8.41,78.501,99.5258941650391
2010,Argentina,0.255582398485167,10385.9644319555,7.71,75.721,98.82
2010,Brazil,0.93941802248079,11249.2937410718,8.034,73.182,98.6
2010,Colombia,1.12688471543895,6392.75802564032,10.98,75.033,96.788995
2011,Costa Rica,1.24002656207939,9137.45510202159,9.52,79.348,99.232348
2011,United States,0.726786704810745,50065.9665041742,8.95,78.6414634146341,100.0
2011,Mexico,1.4276397653994,10341.5002378026,5.17,74.365,99.0047225952148
2011,Canada,0.978697786570341,52223.696112356,7.51,81.4826829268293,100.0
2011,Bolivia,1.67782849865133,2304.98229547312,2.25,66.534,88.335943
2011,"Venezuela, RB",1.31857718723776,10877.1123638816,6.9,72.913,98.84
2011,Paraguay,1.29733854365491,5772.99550988836,4.67,72.131,98.23656
2011,Uruguay,0.267668153797056,14975.5625602187,6.31,76.983,99.17
2011,Ecuador,1.64188311720888,5202.65645902066,3.46,75.743,96.872699
2011,Peru,0.845382115888711,5826.83230656078,3.48,74.133,89.707491
2011,Chile,0.991361115471139,14628.5724573037,7.32,79.11,99.588193
2011,Argentina,1.15305928006386,12848.7404762598,7.18,76.124,99.0342864990234
2011,Brazil,0.928589629509177,13200.5581661879,7.58,73.343,99.328691
2011,Colombia,1.09358307436582,7392.9435995632,10.11,75.32,96.6936
2012,Costa Rica,1.20358030533586,9971.65165625728,9.11,79.283,99.503298
2012,United States,0.733599941250847,51784.4185738837,8.07,78.7414634146342,100.0
2012,Mexico,1.39661546186197,10376.0904951074,4.89,74.574,99.111637
2012,Canada,1.08581726304756,52669.0899632316,7.29,81.6636585365854,100.0
2012,Bolivia,1.65463539887486,2562.46678423329,2.07,66.705,90.387375
2012,"Venezuela, RB",1.27810796850367,12937.9275972349,6.6,73.036,99.2751007080078
2012,Paraguay,1.34923843816846,5621.24402638513,4.09,72.454,97.835616
2012,Uruguay,0.28208319300115,16087.2520777973,6.45,77.111,99.6
2012,Ecuador,1.60252187198822,5678.45572070003,3.23,76.062,97.194929
2012,Peru,0.918055908591097,6475.71941703429,3.24,74.544,91.099508
2012,Chile,0.974635115583974,15406.4928361503,6.64,79.023,100.0
2012,Argentina,1.13690569378967,13082.664325572,7.22,76.467,99.143798828125
2012,Brazil,0.900343360601223,12327.5155558345,7.25,73.552,99.519494
2012,Colombia,1.03966499994087,8096.80150977527,9.74,75.597,97.032176
2013,Costa Rica,1.1532718484809,10633.2665598785,8.22,79.403,99.563517
2013,United States,0.692860276624581,53291.1276891406,7.37,78.7414634146342,100.0
2013,Mexico,1.317160792789,10865.6872912453,4.91,74.739,99.1450500488281
2013,Canada,1.05659125917789,52635.1749580433,7.07,81.7448780487805,100.0
2013,Bolivia,1.62957319915505,2853.79716191598,2.44,67.021,89.505686
2013,"Venezuela, RB",1.23962007374554,12433.9807853398,7.54,73.196,99.3690948486328
2013,Paraguay,1.38035856649557,6435.82655022784,4.38,72.757,99.015884
2013,Uruguay,0.297587135386814,18140.8919180672,6.44,77.24,99.611808
2013,Ecuador,1.5324232376039,6050.3546113274,3.08,76.369,98.034674
2013,Peru,0.967486220265649,6697.18768268879,3.57,74.967,92.135365
2013,Chile,0.964976309009339,15833.2759194461,6.2,79.339,99.6
2013,Argentina,1.11910919999772,13080.2547323367,7.1,76.491,99.285774230957
2013,Brazil,0.868346150167205,12258.5648491717,7.07,73.918,99.575151
2013,Colombia,0.990034781454962,8263.64192942212,9.05,75.827,97.779418
2014,Costa Rica,1.09494595424381,10737.6788753949,8.5,78.774,99.359291
2014,United States,0.733361519937424,55123.8497869046,6.17,78.8414634146341,100.0
2014,Mexico,1.2414667155537,11076.1341141975,4.81,74.797,99.172928
2014,Canada,1.00533757867378,50955.9983232404,6.91,81.7843902439025,100.0
2014,Bolivia,1.60331510672219,3022.46288443562,2.02,67.163,90.038729
2014,"Venezuela, RB",1.18352016638979,15975.7293753361,6.865,72.853,100.0
2014,Paraguay,1.40654396942745,6629.4265185753,5.03,72.878,99.000716
2014,Uruguay,0.309530574282718,18131.5788465661,6.55,77.366,99.657085
2014,Ecuador,1.48359860231919,6374.6314856366,3.48,76.622,98.976067
2014,Peru,1.04365112789631,6614.83049889676,3.21,75.333,92.919989
2014,Chile,1.00681495918115,14666.3431168586,6.65,79.473,100.0
2014,Argentina,1.09946109101836,12334.7982453893,7.27,76.755,100.0
2014,Brazil,0.857834828724811,12071.4046547485,6.76,74.306,99.650247
2014,Colombia,0.947136923375947,8167.47284156278,8.57,76.043,97.790938
2015,Costa Rica,1.04634340433544,11529.9551735671,8.42,79.086,99.409804
2015,United States,0.73621730882542,56762.7294515989,5.28,78.690243902439,100.0
2015,Mexico,1.16700884975484,9753.40056232226,4.31,74.682,99.0
2015,Canada,0.746339477969813,43596.1355365546,6.91,81.8156097560976,100.0
2015,Bolivia,1.5731449401483,2975.64881143063,3.11,67.318,91.522822
2015,"Venezuela, RB",1.10818499531086,15975.7293753361,6.077,73.006,100.0
2015,Paraguay,1.4220035710818,5861.38972416093,4.56,73.191,99.331532
2015,Uruguay,0.328384512874787,16950.7533762432,7.49,77.483,99.70948
2015,Ecuador,1.47983523757956,6130.58667556768,3.62,76.789,98.825883
2015,Peru,1.17223066396866,6180.11879937394,3.27,75.621,93.852179
2015,Chile,1.02942555374852,13569.9481274733,6.49,79.746,99.714844
2015,Argentina,1.07800134449604,13789.060424772,7.524,76.76,99.6890335083008
2015,Brazil,0.845992601345206,8783.21441310718,8.56,74.332,99.710902
2015,Colombia,0.941994067106625,6228.65162186096,8.3,76.257,98.186898
2016,Costa Rica,1.01547072688832,11899.8139783719,8.09,79.459,99.5
2016,United States,0.724676067451429,57866.7449341091,4.87,78.5390243902439,100.0
2016,Mexico,1.13323428792033,8875.08206876137,3.86,74.412,99.5
2016,Canada,1.13234865466606,42315.6037056806,7.0,81.9248780487805,100.0
2016,Bolivia,1.54728829634713,3013.50270721666,3.5,67.628,91.8
2016,"Venezuela, RB",0.691185784244756,15975.7293753361,5.32,72.058,99.4
